Statistic Label,Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,UNIT,VALUE
Employment Rate,2019,All ages,Both sexes,Levels of Education (Levels  0-8),Ireland,%,74.9
Employment Rate,2019,All ages,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,74.0
Employment Rate,2019,All ages,Both sexes,Levels of Education (Levels  0-8),Southern,%,72.8
Employment Rate,2019,All ages,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,76.6
Employment Rate,2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,%,52.8
Employment Rate,2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,%,55.7
Employment Rate,2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,49.6
Employment Rate,2019,All ages,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,53.9
Employment Rate,2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,72.3
Employment Rate,2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,73.1
Employment Rate,2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,71.7
Employment Rate,2019,All ages,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,72.5
Employment Rate,2019,All ages,Both sexes,Tertiary education (Levels 5-8),Ireland,%,84.9
Employment Rate,2019,All ages,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,82.9
Employment Rate,2019,All ages,Both sexes,Tertiary education (Levels 5-8),Southern,%,83.7
Employment Rate,2019,All ages,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,86.2
Employment Rate,2019,All ages,Both sexes,Level of education - not stated,Ireland,%,72.1
Employment Rate,2019,All ages,Both sexes,Level of education - not stated,Northern and Western,%,74.4
Employment Rate,2019,All ages,Both sexes,Level of education - not stated,Southern,%,68.4
Employment Rate,2019,All ages,Both sexes,Level of education - not stated,Eastern and Midland,%,74.3
Employment Rate,2019,All ages,Male,Levels of Education (Levels  0-8),Ireland,%,81.3
Employment Rate,2019,All ages,Male,Levels of Education (Levels  0-8),Northern and Western,%,80.3
Employment Rate,2019,All ages,Male,Levels of Education (Levels  0-8),Southern,%,79.2
Employment Rate,2019,All ages,Male,Levels of Education (Levels  0-8),Eastern and Midland,%,82.9
Employment Rate,2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Ireland,%,64.1
Employment Rate,2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,%,66.8
Employment Rate,2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Southern,%,60.9
Employment Rate,2019,All ages,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,65.3
Employment Rate,2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,80.5
Employment Rate,2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,80.9
Employment Rate,2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,80.5
Employment Rate,2019,All ages,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,80.4
Employment Rate,2019,All ages,Male,Tertiary education (Levels 5-8),Ireland,%,89.7
Employment Rate,2019,All ages,Male,Tertiary education (Levels 5-8),Northern and Western,%,88.4
Employment Rate,2019,All ages,Male,Tertiary education (Levels 5-8),Southern,%,87.9
Employment Rate,2019,All ages,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,90.8
Employment Rate,2019,All ages,Male,Level of education - not stated,Ireland,%,78.7
Employment Rate,2019,All ages,Male,Level of education - not stated,Northern and Western,%,84.2
Employment Rate,2019,All ages,Male,Level of education - not stated,Southern,%,74.3
Employment Rate,2019,All ages,Male,Level of education - not stated,Eastern and Midland,%,80.4
Employment Rate,2019,All ages,Female,Levels of Education (Levels  0-8),Ireland,%,68.7
Employment Rate,2019,All ages,Female,Levels of Education (Levels  0-8),Northern and Western,%,67.8
Employment Rate,2019,All ages,Female,Levels of Education (Levels  0-8),Southern,%,66.5
Employment Rate,2019,All ages,Female,Levels of Education (Levels  0-8),Eastern and Midland,%,70.4
Employment Rate,2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Ireland,%,37.5
Employment Rate,2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,%,36.2
Employment Rate,2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Southern,%,33.9
Employment Rate,2019,All ages,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,40.4
Employment Rate,2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,63.8
Employment Rate,2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,65.1
Employment Rate,2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,62.2
Employment Rate,2019,All ages,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,64.4
Employment Rate,2019,All ages,Female,Tertiary education (Levels 5-8),Ireland,%,81.0
Employment Rate,2019,All ages,Female,Tertiary education (Levels 5-8),Northern and Western,%,78.9
Employment Rate,2019,All ages,Female,Tertiary education (Levels 5-8),Southern,%,80.4
Employment Rate,2019,All ages,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.1
Employment Rate,2019,All ages,Female,Level of education - not stated,Ireland,%,64.9
Employment Rate,2019,All ages,Female,Level of education - not stated,Northern and Western,%,64.2
Employment Rate,2019,All ages,Female,Level of education - not stated,Southern,%,62.2
Employment Rate,2019,All ages,Female,Level of education - not stated,Eastern and Midland,%,67.4
Employment Rate,2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Ireland,%,64.7
Employment Rate,2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,62.6
Employment Rate,2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Southern,%,62.6
Employment Rate,2019,20 - 24 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,66.8
Employment Rate,2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,%,29.5
Employment Rate,2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,27.0
Employment Rate,2019,20 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,33.4
Employment Rate,2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,62.0
Employment Rate,2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,61.7
Employment Rate,2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,60.7
Employment Rate,2019,20 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,63.1
Employment Rate,2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Ireland,%,80.6
Employment Rate,2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,75.9
Employment Rate,2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Southern,%,78.6
Employment Rate,2019,20 - 24 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,82.8
Employment Rate,2019,20 - 24 years,Both sexes,Level of education - not stated,Ireland,%,50.4
Employment Rate,2019,20 - 24 years,Both sexes,Level of education - not stated,Southern,%,68.0
Employment Rate,2019,20 - 24 years,Both sexes,Level of education - not stated,Eastern and Midland,%,39.6
Employment Rate,2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Ireland,%,65.7
Employment Rate,2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Northern and Western,%,63.5
Employment Rate,2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Southern,%,63.4
Employment Rate,2019,20 - 24 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,%,67.9
Employment Rate,2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,%,32.4
Employment Rate,2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,36.5
Employment Rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,64.1
Employment Rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,63.8
Employment Rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,62.4
Employment Rate,2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,65.5
Employment Rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Ireland,%,80.6
Employment Rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,74.3
Employment Rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,%,78.9
Employment Rate,2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,82.9
Employment Rate,2019,20 - 24 years,Male,Level of education - not stated,Ireland,%,51.6
Employment Rate,2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,%,63.7
Employment Rate,2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Northern and Western,%,61.8
Employment Rate,2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Southern,%,61.9
Employment Rate,2019,20 - 24 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,%,65.6
Employment Rate,2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Ireland,%,25.9
Employment Rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,59.6
Employment Rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,59.2
Employment Rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,58.8
Employment Rate,2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,60.3
Employment Rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Ireland,%,80.5
Employment Rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,%,77.0
Employment Rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,%,78.3
Employment Rate,2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,%,82.7
Employment Rate,2019,20 - 24 years,Female,Level of education - not stated,Ireland,%,49.4
Employment Rate,2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Ireland,%,79.3
Employment Rate,2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,%,77.8
Employment Rate,2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Southern,%,76.6
Employment Rate,2019,25 - 29 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,%,81.2
Employment Rate,2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,%,45.3
Employment Rate,2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,%,51.5
Employment Rate,2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,%,35.6
Employment Rate,2019,25 - 29 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,48.4
Employment Rate,2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,74.4
Employment Rate,2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,75.6
Employment Rate,2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,73.6
Employment Rate,2019,25 - 29 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,74.5
Employment Rate,2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Ireland,%,86.4
Employment Rate,2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,%,82.2
Employment Rate,2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Southern,%,84.4
Employment Rate,2019,25 - 29 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,%,88.3
Employment Rate,2019,25 - 29 years,Both sexes,Level of education - not stated,Ireland,%,81.3
Employment Rate,2019,25 - 29 years,Both sexes,Level of education - not stated,Southern,%,77.9
Employment Rate,2019,25 - 29 years,Both sexes,Level of education - not stated,Eastern and Midland,%,81.1
Employment Rate,2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Ireland,%,83.2
Employment Rate,2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Northern and Western,%,83.7
Employment Rate,2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Southern,%,79.4
Employment Rate,2019,25 - 29 years,Male,Levels of Education (Levels  0-8),Eastern and Midland,%,85.2
Employment Rate,2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Ireland,%,55.7
Employment Rate,2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,%,64.3
Employment Rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,%,81.2
Employment Rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,%,82.1
Employment Rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,%,80.4
Employment Rate,2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,%,81.6
Employment Rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Ireland,%,88.7
Employment Rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,%,86.9
Employment Rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,%,85.4
Employment Rate,2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,%,90.6
Employment Rate,2019,25 - 29 years,Male,Level of education - not stated,Ireland,%,81.6
Employment Rate,2019,25 - 29 years,Male,Level of education - not stated,Southern,%,83.1
Employment Rate,2019,25 - 29 years,Male,Level of education - not stated,Eastern and Midland,%,76.7
Employment Rate,2019,25 - 29 years,Female,Levels of Education (Levels  0-8),Ireland,%,75.4
