Year,Age Group,Sex,Education Attainment Level,NUTS 2 Region,Employment_Rate,Unemployment_Rate
2019,15 - 24 years,Both sexes,Less than primary (Level 0),Eastern and Midland,,
2019,15 - 24 years,Both sexes,Less than primary (Level 0),Ireland,,
2019,15 - 24 years,Both sexes,Less than primary (Level 0),Northern and Western,,
2019,15 - 24 years,Both sexes,Less than primary (Level 0),Southern,,
2019,15 - 24 years,Both sexes,Level of education - not stated,Eastern and Midland,,
2019,15 - 24 years,Both sexes,Level of education - not stated,Ireland,,
2019,15 - 24 years,Both sexes,Level of education - not stated,Northern and Western,,
2019,15 - 24 years,Both sexes,Level of education - not stated,Southern,,
2019,15 - 24 years,Both sexes,Levels of Education (Levels  0-8),Eastern and Midland,,11.8
2019,15 - 24 years,Both sexes,Levels of Education (Levels  0-8),Ireland,,12.5
2019,15 - 24 years,Both sexes,Levels of Education (Levels  0-8),Northern and Western,,12.2
2019,15 - 24 years,Both sexes,Levels of Education (Levels  0-8),Southern,,13.7
2019,15 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Eastern and Midland,,27.7
2019,15 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Ireland,,26.4
2019,15 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Northern and Western,,24.1
2019,15 - 24 years,Both sexes,Primary and lower secondary education (Levels 1-2),Southern,,26.1
2019,15 - 24 years,Both sexes,Tertiary education (Levels 5-8),Eastern and Midland,,7.3
2019,15 - 24 years,Both sexes,Tertiary education (Levels 5-8),Ireland,,7.8
2019,15 - 24 years,Both sexes,Tertiary education (Levels 5-8),Northern and Western,,
2019,15 - 24 years,Both sexes,Tertiary education (Levels 5-8),Southern,,8.5
2019,15 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,,10.7
2019,15 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Ireland,,11.4
2019,15 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,,10.6
2019,15 - 24 years,Both sexes,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,,12.8
2019,15 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,,
2019,15 - 24 years,Female,Less than primary (Level 0),Ireland,,
2019,15 - 24 years,Female,Less than primary (Level 0),Northern and Western,,
2019,15 - 24 years,Female,Less than primary (Level 0),Southern,,
2019,15 - 24 years,Female,Level of education - not stated,Eastern and Midland,,
2019,15 - 24 years,Female,Level of education - not stated,Ireland,,
2019,15 - 24 years,Female,Level of education - not stated,Northern and Western,,
2019,15 - 24 years,Female,Level of education - not stated,Southern,,
2019,15 - 24 years,Female,Levels of Education (Levels  0-8),Eastern and Midland,,10.3
2019,15 - 24 years,Female,Levels of Education (Levels  0-8),Ireland,,10.7
2019,15 - 24 years,Female,Levels of Education (Levels  0-8),Northern and Western,,8.8
