Quarter,Sex,Education Attainment Level,Age Group,Employment_Rate,Unemployment_Rate,Long_term_Unemployment_Rate
2019Q1,Both sexes,Less than primary (Level 0),15 - 24 years,,,
2019Q1,Both sexes,Less than primary (Level 0),20 - 24 years,,,
2019Q1,Both sexes,Less than primary (Level 0),25 - 29 years,,,
2019Q1,Both sexes,Less than primary (Level 0),25 - 54 years,,,
2019Q1,Both sexes,Less than primary (Level 0),30 - 34 years,,,
2019Q1,Both sexes,Less than primary (Level 0),35 - 39 years,,,
2019Q1,Both sexes,Less than primary (Level 0),40 - 44 years,,,
2019Q1,Both sexes,Less than primary (Level 0),45 - 49 years,,,
2019Q1,Both sexes,Less than primary (Level 0),50 - 54 years,,,
2019Q1,Both sexes,Less than primary (Level 0),55 - 59 years,,,
2019Q1,Both sexes,Less than primary (Level 0),55 - 74 years,,,
2019Q1,Both sexes,Less than primary (Level 0),60 - 64 years,,,
2019Q1,Both sexes,Less than primary (Level 0),All ages,,,
2019Q1,Both sexes,Level of education - not stated,15 - 24 years,,,
2019Q1,Both sexes,Level of education - not stated,20 - 24 years,,,
2019Q1,Both sexes,Level of education - not stated,25 - 29 years,76.0,,
2019Q1,Both sexes,Level of education - not stated,25 - 54 years,76.0,,
2019Q1,Both sexes,Level of education - not stated,30 - 34 years,76.0,,
2019Q1,Both sexes,Level of education - not stated,35 - 39 years,74.8,,
2019Q1,Both sexes,Level of education - not stated,40 - 44 years,81.6,,
2019Q1,Both sexes,Level of education - not stated,45 - 49 years,82.7,,
2019Q1,Both sexes,Level of education - not stated,50 - 54 years,62.0,,
2019Q1,Both sexes,Level of education - not stated,55 - 59 years,,,
2019Q1,Both sexes,Level of education - not stated,55 - 74 years,,,
2019Q1,Both sexes,Level of education - not stated,60 - 64 years,,,
2019Q1,Both sexes,Level of education - not stated,All ages,70.6,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),15 - 24 years,,11.0,2.8
2019Q1,Both sexes,Levels of Education (Levels  0-8),20 - 24 years,64.0,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),25 - 29 years,80.1,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),25 - 54 years,80.1,4.1,1.6
2019Q1,Both sexes,Levels of Education (Levels  0-8),30 - 34 years,81.4,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),35 - 39 years,81.5,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),40 - 44 years,81.5,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),45 - 49 years,79.3,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),50 - 54 years,75.9,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),55 - 59 years,68.7,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),55 - 74 years,,3.5,1.6
2019Q1,Both sexes,Levels of Education (Levels  0-8),60 - 64 years,53.0,,
2019Q1,Both sexes,Levels of Education (Levels  0-8),All ages,74.9,4.8,1.7
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),15 - 24 years,,24.7,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),20 - 24 years,33.0,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 29 years,45.5,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),25 - 54 years,57.5,8.0,4.7
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),30 - 34 years,57.3,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),35 - 39 years,57.9,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),40 - 44 years,57.9,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),45 - 49 years,61.3,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),50 - 54 years,57.1,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 59 years,55.8,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),55 - 74 years,,3.9,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),60 - 64 years,44.8,,
2019Q1,Both sexes,Primary and lower secondary education (Levels 1-2),All ages,53.7,8.2,4.0
2019Q1,Both sexes,Tertiary education (Levels 5-8),15 - 24 years,,6.4,
2019Q1,Both sexes,Tertiary education (Levels 5-8),20 - 24 years,82.1,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),25 - 29 years,86.7,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),25 - 54 years,87.8,2.9,0.8
2019Q1,Both sexes,Tertiary education (Levels 5-8),30 - 34 years,88.1,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),35 - 39 years,88.0,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),40 - 44 years,89.6,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),45 - 49 years,87.0,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),50 - 54 years,86.6,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),55 - 59 years,77.8,,
2019Q1,Both sexes,Tertiary education (Levels 5-8),55 - 74 years,,2.7,
2019Q1,Both sexes,Tertiary education (Levels 5-8),60 - 64 years,59.6,,
