"Statistic Label","Year","Age Group","Sex","Education Attainment Level","UNIT","VALUE"
"Annual percentage of part-time work","2019","All ages","Both sexes","Levels of Education (Levels  0-8)","%","18.1"
"Annual percentage of part-time work","2019","All ages","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","%","25.1"
"Annual percentage of part-time work","2019","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","22.9"
"Annual percentage of part-time work","2019","All ages","Both sexes","Tertiary education (Levels 5-8)","%","13.3"
"Annual percentage of part-time work","2019","All ages","Both sexes","Level of education - not stated","%","15.2"
"Annual percentage of part-time work","2019","All ages","Male","Levels of Education (Levels  0-8)","%","8.7"
"Annual percentage of part-time work","2019","All ages","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","All ages","Male","Primary and lower secondary education (Levels 1-2)","%","14.1"
"Annual percentage of part-time work","2019","All ages","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","11.2"
"Annual percentage of part-time work","2019","All ages","Male","Tertiary education (Levels 5-8)","%","5"
"Annual percentage of part-time work","2019","All ages","Male","Level of education - not stated","%","8.4"
"Annual percentage of part-time work","2019","All ages","Female","Levels of Education (Levels  0-8)","%","29"
"Annual percentage of part-time work","2019","All ages","Female","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","All ages","Female","Primary and lower secondary education (Levels 1-2)","%","50.3"
"Annual percentage of part-time work","2019","All ages","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","38.3"
"Annual percentage of part-time work","2019","All ages","Female","Tertiary education (Levels 5-8)","%","20.9"
"Annual percentage of part-time work","2019","All ages","Female","Level of education - not stated","%","24.2"
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Levels of Education (Levels  0-8)","%","34.9"
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Primary and lower secondary education (Levels 1-2)","%","34.2"
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","43.4"
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Tertiary education (Levels 5-8)","%","19.6"
"Annual percentage of part-time work","2019","20 - 24 years","Both sexes","Level of education - not stated","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Male","Levels of Education (Levels  0-8)","%","30"
"Annual percentage of part-time work","2019","20 - 24 years","Male","Less than primary (Level 0)","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Male","Primary and lower secondary education (Levels 1-2)","%",""
"Annual percentage of part-time work","2019","20 - 24 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","%","36.2"
