"Statistic Label","Quarter","Sex","Education Attainment Level","Age Group","UNIT","VALUE"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","All ages","%","74.9"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","20 - 24 years","%","64"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","25 - 29 years","%","80.1"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","25 - 54 years","%","80.1"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","30 - 34 years","%","81.4"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","35 - 39 years","%","81.5"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","40 - 44 years","%","81.5"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","45 - 49 years","%","79.3"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","50 - 54 years","%","75.9"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","55 - 59 years","%","68.7"
"Employment rate","2019Q1","Both sexes","Levels of Education (Levels  0-8)","60 - 64 years","%","53"
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","All ages","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","20 - 24 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","25 - 29 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","25 - 54 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","30 - 34 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","35 - 39 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","40 - 44 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","45 - 49 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","50 - 54 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","55 - 59 years","%",""
"Employment rate","2019Q1","Both sexes","Less than primary (Level 0)","60 - 64 years","%",""
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","All ages","%","53.7"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","20 - 24 years","%","33"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 29 years","%","45.5"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","25 - 54 years","%","57.5"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","30 - 34 years","%","57.3"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","35 - 39 years","%","57.9"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","40 - 44 years","%","57.9"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","45 - 49 years","%","61.3"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","50 - 54 years","%","57.1"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","55 - 59 years","%","55.8"
"Employment rate","2019Q1","Both sexes","Primary and lower secondary education (Levels 1-2)","60 - 64 years","%","44.8"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","All ages","%","72.1"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","20 - 24 years","%","60.1"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 29 years","%","76.3"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","25 - 54 years","%","77.5"
"Employment rate","2019Q1","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","30 - 34 years","%","77.8"
